high_school,romanian_grade,county,specialisation,profile_exam_name,profile_exam_grade,optional_exam_name,optional_exam_grade,passed
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,10.0, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.7, INFORMATICA MI C/C++,10.0,True
" LICEUL ""DIMITRIE CANTEMIR"" DARABANI",9.65, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",9.8, VN, FILOLOGIE, ISTORIE,10.0, ECONOMIE,9.85,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",9.75, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" LICEUL TEORETIC ""AVRAM IANCU"" CLUJ-NAPOCA",9.65, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA",9.75, VL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, INFORMATICA MI C/C++,10.0,True
 LICEUL TEORETIC INTERNATIONAL DE INFORMATICA CONSTANTA,9.75, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,10.0,True
" COLEGIUL ECONOMIC ""MIHAIL KOGALNICEANU"" FOCSANI",10.0, VN, TEHNICIAN IN ACTIVITATI ECONOMICE, MATEMATICA TEHN,9.95, GEOGRAFIE,9.7,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",9.8, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",9.75, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.9,True
" COLEGIUL NATIONAL DE ARTA ""GEORGE APOSTU"" BACAU",9.65, BC, ARTE PLASTICE SI DECORATIVE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU PAPIU ILARIAN"" TIRGU MURES",9.65, MS, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""ZINCA GOLESCU"" PITESTI",9.65, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,9.65, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",9.65, AG, FILOLOGIE, ISTORIE,10.0, SOCIOLOGIE,10.0,True
" COLEGIUL NATIONAL ""VLAICU VODA"" CURTEA DE ARGES",9.65, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",10.0, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, CHIMIE ORGANICA TEO NIVEL I/II,9.8,True
" COLEGIUL NATIONAL ""LIVIU REBREANU"" BISTRITA",10.0, BN, STIINTE SOCIALE, ISTORIE,9.65," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""FRATII BUZESTI"" CRAIOVA",9.85, DJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.8,True
" LICEUL TEORETIC ""IULIA ZAMFIRESCU"" MIOVENI",9.8, AG, FILOLOGIE, ISTORIE,9.85, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU ODOBESCU"" PITESTI",9.65, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" TULCEA",10.0, TL, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.65," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",10.0, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, CHIMIE ORGANICA TEO NIVEL I/II,9.8,True
" COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA",9.9, VL, FILOLOGIE, ISTORIE,10.0, FILOSOFIE,9.75,True
" COLEGIUL NATIONAL ""IOSIF VULCAN"" ORADEA",10.0, BH, INVATATOR - EDUCATOARE, MATEMATICA PED,9.85," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" COLEGIUL NATIONAL ""ROMAN VODA"", MUNICIPIUL ROMAN",10.0, NT, STIINTE SOCIALE, ISTORIE,10.0, GEOGRAFIE,9.65,True
" COLEGIUL NATIONAL ""MATEI BASARAB""",9.85, B, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" TULCEA",10.0, TL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
 LICEUL TEORETIC Ă˘â‚¬â„˘TRAIANĂ˘â‚¬â„˘ CONSTANTA,9.65, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, INFORMATICA SN C/C++,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",9.7, NT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,9.95,True
" COLEGIUL NATIONAL, IASI",9.85, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" COLEGIUL NATIONAL ""RADU GRECEANU"" SLATINA",9.9, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.75,True
" COLEGIUL NATIONAL ""CAROL I"" CRAIOVA",9.85, DJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.8,True
" COLEGIUL NATIONAL ""ECATERINA TEODOROIU"" TG-JIU",9.95, GJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
" COLEGIUL NATIONAL ""INOCHENTIE MICU CLAIN"" BLAJ",9.9, AB, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.75," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"" BOTOSANI",9.65, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
 LICEUL TEORETIC Ă˘â‚¬â„˘OVIDIUSĂ˘â‚¬â„˘ CONSTANTA,10.0, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.65,True
" COLEGIUL NATIONAL ""CALISTRAT HOGAS"", MUNICIPIUL PIATRA-NEAMT",10.0, NT, STIINTE SOCIALE, ISTORIE,9.65," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""GHEORGHE SINCAI"" BAIA MARE",10.0, MM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.65,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.65, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ANORGANICA TEO NIVEL I/II,10.0,True
" LICEUL TEORETIC ""NICOLAE BALCESCU"" CLUJ-NAPOCA",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, INFORMATICA MI PASCAL,9.75,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"" BACAU",9.7, BC, FILOLOGIE, ISTORIE,9.95," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL""GRIGORE MOISIL"" URZICENI",9.8, IL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.85,True
" COLEGIUL NATIONAL ""DIMITRIE CANTEMIR"" ONESTI",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, FIZICA TEO,9.85,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľMIHAI EMINESCU"" SATU MARE",9.8, SM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, INFORMATICA MI PASCAL,10.0,True
" LICEUL TEORETIC ""EUGEN PORA"" CLUJ-NAPOCA",9.65, CJ, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",9.9, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, FIZICA TEO,10.0,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,10.0, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.85,True
" COLEGIUL ""ALEXANDRU CEL BUN"" GURA HUMORULUI",10.0, SV, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.65,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",9.75, BC, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" COLEGIUL NATIONAL ""MATEI BASARAB""",9.7, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""GRIGORE MOISIL""",10.0, B, FILOLOGIE, ISTORIE,9.8," LOGICA, ARGUMENTARE SI COMUNICARE",9.85,True
" LICEUL DE ARTE ""BALASA DOAMNA"" TARGOVISTE",9.7, DB," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", ISTORIE,9.95, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GRIGORE MOISIL""",10.0, B, FILOLOGIE, ISTORIE,9.8," LOGICA, ARGUMENTARE SI COMUNICARE",9.85,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľMIHAI EMINESCU"" SATU MARE",10.0, SM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, FIZICA TEO,9.75,True
" COLEGIUL NATIONAL ""SPIRU HARET""",9.65, B, STIINTE SOCIALE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",9.7, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",9.75, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, BIOLOGIE VEGETALA SI ANIMALA,10.0,True
" COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA",9.85, AB, FILOLOGIE, ISTORIE,9.8, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""O.GOGA"" SIBIU",9.8, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.85, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""ION MINULESCU"" SLATINA",10.0, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.65,True
" COLEGIUL NATIONAL ""ALEXANDRU VLAHUTA"" MUNICIPIUL RIMNICU SARAT",9.65, BZ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",9.8, SV, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",9.7, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.95,True
" LICEUL ""REGINA MARIA"" DOROHOI",9.65, BT, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",9.75, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.9,True
" COLEGIUL NATIONAL ""C.D. LOGA"" CARANSEBES",10.0, CS, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.65,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",9.65, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""DINICU GOLESCU"" CAMPULUNG",9.8, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""OCTAV ONICESCU""",9.75, B, STIINTE SOCIALE, ISTORIE,9.9, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL BILINGV ""GEORGE COSBUC""",10.0, B, FILOLOGIE, ISTORIE,9.75, GEOGRAFIE,9.9,True
 COLEGIUL NATIONAL 'ANDREI SAGUNA' BRASOV,10.0, BV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.65,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" MUN.TIMISOARA",10.0, TM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85, BIOLOGIE VEGETALA SI ANIMALA,9.8,True
 SEMINARUL TEOLOGIC ORTODOX ARAD,9.75, AR, TEOLOGIE ORTODOXA, ISTORIE,10.0, GEOGRAFIE,9.9,True
 COLEGIUL NATIONAL 'ANDREI SAGUNA' BRASOV,9.65, BV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""NICOLAE BALCESCU"" CLUJ-NAPOCA",9.65, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""CONSTANTIN CARABELLA"" TARGOVISTE",9.85, DB, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,9.8,True
" COLEGIUL NATIONAL ""ION MINULESCU"" SLATINA",9.7, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.95,True
" COLEGIUL NATIONAL ""GH. ROSCA CODREANU"", MUN. BARLAD",9.65, VS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",9.7, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.95,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"" CLUJ-NAPOCA",9.65, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",10.0, IL, FILOLOGIE, ISTORIE,9.65," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL DE INFORMATICA ""TIBERIU POPOVICIU"" CLUJ-NAPOCA",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, INFORMATICA MI C/C++,9.75,True
" LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI",9.9, VS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 LICEUL TEORETIC Ă˘â‚¬â„˘CALLATISĂ˘â‚¬â„˘ MANGALIA,10.0, CT, STIINTE SOCIALE, ISTORIE,9.65, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""CANTEMIR VODA""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, INFORMATICA MI C/C++,9.9,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",9.65, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" TULCEA",9.7, TL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""GRIGORE MOISIL"" ONESTI",9.75, BC, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,9.9,True
 COLEGIUL NATIONAL Ă˘â‚¬â„˘MIRCEA CEL BATRANĂ˘â‚¬â„˘ CONSTANTA,9.65, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL PEDAGOGIC ""MIRCEA SCARLAT"" ALEXANDRIA",9.75, TR, INVATATOR - EDUCATOARE, MATEMATICA PED,9.9, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GIB MIHAESCU"" DRAGASANI",10.0, VL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.65,True
" LICEUL TEORETIC ""GRIGORE MOISIL"" MUN.TIMISOARA",9.9, TM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, BIOLOGIE VEGETALA SI ANIMALA,9.85,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",10.0, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.65," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU PAPIU ILARIAN"" TIRGU MURES",9.65, MS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",9.65, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"", IASI",10.0, IS, FILOLOGIE, ISTORIE,9.65, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""TUDOR VLADIMIRESCU"" TG-JIU",9.95, GJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.7,True
" COLEGIUL NATIONAL ""SILVANIA"" ZALAU",10.0, SJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" LICEUL TEORETIC ""ION CREANGA"" TULCEA",9.85, TL, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" COLEGIUL NATIONAL, IASI",10.0, IS, FILOLOGIE, ISTORIE,9.65, PSIHOLOGIE,10.0,True
" COLEGIUL NATIONAL ""MOISE NICOARA"" ARAD",9.9, AR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.75,True
" COLEGIUL NATIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",9.9, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, BIOLOGIE VEGETALA SI ANIMALA,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",10.0, IL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.6,True
" COLEGIUL NATIONAL ""C.D. LOGA"" CARANSEBES",9.8, CS, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",9.8,True
" LICEUL TEORETIC ""ALEXANDRU PAPIU ILARIAN"" DEJ",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
" COLEGIUL NATIONAL ""ALEXANDRU IOAN CUZA"" ALEXANDRIA",9.6, TR, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA",9.85, VL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.75, INFORMATICA MI C/C++,10.0,True
 LICEUL TEORETIC Ă˘â‚¬â„˘CALLATISĂ˘â‚¬â„˘ MANGALIA,9.75, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 LICEUL TEORETIC Ă˘â‚¬â„˘TRAIANĂ˘â‚¬â„˘ CONSTANTA,10.0, CT, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.6," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""IENACHITA VACARESCU"" TARGOVISTE",9.8, DB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,9.8,True
" LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI",10.0, VS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, INFORMATICA MI C/C++,9.8,True
" COLEGIUL NATIONAL ""SPIRU HARET"", LOCALITATEA TECUCI",10.0, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.65,True
" COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA",9.6, VL, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GH.LAZAR"" SIBIU",9.85, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.75,True
" LICEUL TEORETIC ""VASILE ALECSANDRI"", IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.6,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, FILOLOGIE, ISTORIE,9.8, GEOGRAFIE,9.8,True
" COLEGIUL NATIONAL ""HOREA CLOSCA SI CRISAN"" ALBA IULIA",9.65, AB, FILOLOGIE, ISTORIE,9.95," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",9.8, BZ, FILOLOGIE, ISTORIE,9.8," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL TEHNIC ""DIMITRIE GHIKA"" COMANESTI",9.75, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.85," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL MIRCEA CEL BATRAN, MUN. RM. VALCEA",10.0, VL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.6," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
 COLEGIUL NATIONAL 'DR. IOAN MESOTA' BRASOV,9.85, BV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.75,True
" COLEGIUL NATIONAL ""GHEORGHE VRANCEANU"" BACAU",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.8,True
 COLEGIUL NATIONAL PEDAGOGIC Ă˘â‚¬â„˘CONSTANTIN BRATESCUĂ˘â‚¬â„˘ CONSTANTA,9.6, CT, INVATATOR - EDUCATOARE, MATEMATICA PED,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľMIHAI EMINESCU"" SATU MARE",9.7, SM, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",9.6, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""DIMITRIE CANTEMIR"" ONESTI",9.7, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.9,True
" LICEUL TEORETIC ""DANTE ALIGHIERI""",10.0, B, FILOLOGIE, ISTORIE,9.6," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""NICOLAE TITULESCU"" PUCIOASA",9.8, DB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.8, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRI"", LOCALITATEA GALATI",9.8, GL, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.8," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.6,True
" COLEGIUL NATIONAL ""ROMAN VODA"", MUNICIPIUL ROMAN",9.6, NT, STIINTE SOCIALE, ISTORIE,10.0, PSIHOLOGIE,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" TURDA",10.0, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.9," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",9.7,True
